epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.416,1.06887,1.60907,1.07897,0.93131,0.91768,0.95737,0.6679,0.96526,1.08258,1.05041,0.00066589,0.00066589,0.00066589
2,556.508,1.06186,0.91977,1.09739,0.87509,0.90549,0.90211,0.62792,1.08451,1.16611,1.16936,0.00131936,0.00131936,0.00131936
3,808.143,1.04344,0.8033,1.11107,0.96048,0.91768,0.96993,0.71748,0.97207,0.66955,1.1027,0.00195964,0.00195964,0.00195964
4,1061.22,1.03018,0.74893,1.10196,0.93877,0.93489,0.96985,0.7227,0.96312,0.61795,1.07964,0.0019406,0.0019406,0.0019406
5,1305.24,0.99582,0.70192,1.087,0.98228,0.90854,0.97057,0.72756,0.90447,0.61574,1.04494,0.0019208,0.0019208,0.0019208
6,1550.31,0.96525,0.67735,1.07662,0.98101,0.94481,0.98177,0.78637,0.81105,0.52949,1.01111,0.001901,0.001901,0.001901
7,1795.5,0.94352,0.64337,1.06632,0.97843,0.96341,0.98502,0.77486,0.8224,0.50565,1.01347,0.0018812,0.0018812,0.0018812
8,2039.95,0.92474,0.60568,1.04703,0.96313,0.95567,0.97666,0.75716,0.89788,0.54062,1.07167,0.0018614,0.0018614,0.0018614
9,2302.76,0.8887,0.5899,1.02815,0.9605,0.95122,0.98673,0.79631,0.79546,0.49937,1.01824,0.0018416,0.0018416,0.0018416
10,2547.06,0.89667,0.57545,1.03735,0.96399,0.97928,0.98834,0.79195,0.78174,0.46355,1.0038,0.0018218,0.0018218,0.0018218
11,2794.11,0.86291,0.57089,1.02133,0.98059,0.95732,0.98984,0.80007,0.79334,0.46814,1.00115,0.001802,0.001802,0.001802
12,3038.7,0.86875,0.56782,1.02486,0.98161,0.96341,0.9904,0.79066,0.80204,0.46597,1.02121,0.0017822,0.0017822,0.0017822
13,3282.93,0.86673,0.55538,1.01598,0.99065,0.96884,0.99059,0.80306,0.7847,0.44918,0.993,0.0017624,0.0017624,0.0017624
14,3530.39,0.8372,0.53458,1.01004,0.97933,0.96646,0.98754,0.81488,0.73963,0.44746,0.98278,0.0017426,0.0017426,0.0017426
15,3777.58,0.82544,0.53545,1.00262,0.95915,0.98171,0.99134,0.80738,0.77197,0.43567,0.97443,0.0017228,0.0017228,0.0017228
16,4024.38,0.8249,0.51765,1.00148,0.96648,0.96683,0.98824,0.80669,0.74589,0.44527,0.96915,0.001703,0.001703,0.001703
17,4271.83,0.80818,0.50913,0.99824,0.96705,0.96646,0.98829,0.81144,0.72783,0.42175,0.9646,0.0016832,0.0016832,0.0016832
18,4516.99,0.83526,0.51677,0.99799,0.97564,0.97686,0.98979,0.81989,0.72645,0.41235,0.96867,0.0016634,0.0016634,0.0016634
19,4758.54,0.7953,0.49619,0.99024,0.95818,0.97795,0.99047,0.8149,0.74472,0.41617,0.97377,0.0016436,0.0016436,0.0016436
20,4999.16,0.8013,0.49457,0.98457,0.98125,0.97561,0.9886,0.81641,0.74346,0.42507,0.95572,0.0016238,0.0016238,0.0016238
21,5240.31,0.79265,0.49035,0.98192,0.96723,0.98972,0.99058,0.82439,0.72865,0.3986,0.96552,0.001604,0.001604,0.001604
